valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11161.0,114,30.0,290.0,135.0,,,,,,,,
11164.0,115,34.0,286.0,132.0,,,,,,,,
11159.0,116,27.0,293.0,137.0,,,,,,,,
11151.0,117,24.0,296.0,145.0,,,,,,,,
11171.0,118,29.0,291.0,125.0,,,,,,,,
11193.0,119,40.0,280.0,103.0,,,,,,,,
11153.0,120,16.0,304.0,143.0,,,,,,,,
11154.0,121,25.0,295.0,142.0,,,,,,,,
11171.0,122,34.0,286.0,125.0,,,,,,,,
11170.0,123,32.0,288.0,126.0,,,,,,,,
11172.0,124,42.0,278.0,124.0,,,,,,,,
11156.0,125,27.0,293.0,140.0,,,,,,,,
11145.0,126,31.0,289.0,151.0,,,,,,,,
11171.0,127,32.0,288.0,125.0,,,,,,,,
11171.0,128,26.0,294.0,125.0,,,,,,,,
11160.0,129,33.0,287.0,136.0,,,,,,,,
11169.0,130,25.0,295.0,127.0,,,,,,,,
11166.0,131,29.0,291.0,130.0,,,,,,,,
11166.0,132,35.0,285.0,130.0,,,,,,,,
11168.0,133,33.0,287.0,128.0,,,,,,,,
11165.0,134,30.0,290.0,131.0,,,,,,,,
11182.0,135,26.0,294.0,114.0,,,,,,,,
11152.0,136,28.0,292.0,144.0,,,,,,,,
11191.0,137,40.0,280.0,105.0,,,,,,,,
11177.0,138,33.0,287.0,119.0,,,,,,,,
11147.0,139,23.0,297.0,149.0,,,,,,,,
11174.0,140,26.0,294.0,122.0,,,,,,,,
11172.0,141,26.0,294.0,124.0,,,,,,,,
11169.0,142,29.0,291.0,127.0,,,,,,,,
11151.0,143,28.0,292.0,145.0,,,,,,,,
11178.0,144,43.0,277.0,118.0,,,,,,,,
11170.0,145,22.0,298.0,126.0,,,,,,,,
11149.0,146,35.0,285.0,147.0,,,,,,,,
11172.0,147,30.0,290.0,124.0,,,,,,,,
11163.0,148,30.0,290.0,133.0,,,,,,,,
11160.0,149,28.0,292.0,136.0,,,,,,,,
11167.0,150,33.0,287.0,129.0,,,,,,,,
11174.0,151,26.0,294.0,122.0,,,,,,,,
11164.0,152,29.0,291.0,132.0,,,,,,,,
11186.0,153,26.0,294.0,110.0,,,,,,,,
11167.0,154,25.0,295.0,129.0,,,,,,,,
11158.0,155,32.0,288.0,138.0,,,,,,,,
11171.0,156,31.0,289.0,125.0,,,,,,,,
11175.0,157,21.0,299.0,121.0,,,,,,,,
11181.0,158,17.0,303.0,115.0,,,,,,,,
11166.0,159,31.0,289.0,130.0,,,,,,,,
11163.0,160,20.0,300.0,133.0,,,,,,,,
11163.0,161,27.0,293.0,133.0,,,,,,,,
