valid_tp_step,step,valid_tn_step,valid_fn_step,valid_fp_step,valid_WAcc,epoch,valid_tp_epoch,valid_fp_epoch,valid_F1,valid_tn_epoch,valid_fn_epoch,valid_Loss
148.0,110,7296.0,0.0,4172.0,,,,,,,,
141.0,111,7295.0,1.0,4179.0,,,,,,,,
160.0,112,7295.0,1.0,4160.0,,,,,,,,
190.0,113,7296.0,0.0,4130.0,,,,,,,,
164.0,114,7295.0,1.0,4156.0,,,,,,,,
166.0,115,7296.0,0.0,4154.0,,,,,,,,
163.0,116,7295.0,1.0,4157.0,,,,,,,,
169.0,117,7296.0,0.0,4151.0,,,,,,,,
153.0,118,7295.0,1.0,4167.0,,,,,,,,
142.0,119,7295.0,1.0,4178.0,,,,,,,,
159.0,120,7296.0,0.0,4161.0,,,,,,,,
167.0,121,7296.0,0.0,4153.0,,,,,,,,
159.0,122,7296.0,0.0,4161.0,,,,,,,,
158.0,123,7296.0,0.0,4162.0,,,,,,,,
165.0,124,7295.0,1.0,4155.0,,,,,,,,
166.0,125,7295.0,1.0,4154.0,,,,,,,,
180.0,126,7294.0,2.0,4140.0,,,,,,,,
157.0,127,7296.0,0.0,4163.0,,,,,,,,
151.0,128,7296.0,0.0,4169.0,,,,,,,,
168.0,129,7295.0,1.0,4152.0,,,,,,,,
149.0,130,7293.0,3.0,4171.0,,,,,,,,
159.0,131,7296.0,0.0,4161.0,,,,,,,,
165.0,132,7296.0,0.0,4155.0,,,,,,,,
161.0,133,7296.0,0.0,4159.0,,,,,,,,
161.0,134,7296.0,0.0,4159.0,,,,,,,,
140.0,135,7296.0,0.0,4180.0,,,,,,,,
170.0,136,7294.0,2.0,4150.0,,,,,,,,
145.0,137,7296.0,0.0,4175.0,,,,,,,,
152.0,138,7296.0,0.0,4168.0,,,,,,,,
172.0,139,7296.0,0.0,4148.0,,,,,,,,
148.0,140,7296.0,0.0,4172.0,,,,,,,,
150.0,141,7296.0,0.0,4170.0,,,,,,,,
155.0,142,7295.0,1.0,4165.0,,,,,,,,
172.0,143,7295.0,1.0,4148.0,,,,,,,,
161.0,144,7296.0,0.0,4159.0,,,,,,,,
148.0,145,7296.0,0.0,4172.0,,,,,,,,
182.0,146,7296.0,0.0,4138.0,,,,,,,,
154.0,147,7296.0,0.0,4166.0,,,,,,,,
162.0,148,7295.0,1.0,4158.0,,,,,,,,
164.0,149,7296.0,0.0,4156.0,,,,,,,,
161.0,150,7295.0,1.0,4159.0,,,,,,,,
148.0,151,7296.0,0.0,4172.0,,,,,,,,
160.0,152,7295.0,1.0,4160.0,,,,,,,,
136.0,153,7296.0,0.0,4184.0,,,,,,,,
154.0,154,7296.0,0.0,4166.0,,,,,,,,
169.0,155,7295.0,1.0,4151.0,,,,,,,,
156.0,156,7296.0,0.0,4164.0,,,,,,,,
141.0,157,7295.0,1.0,4179.0,,,,,,,,
132.0,158,7296.0,0.0,4188.0,,,,,,,,
160.0,159,7295.0,1.0,4160.0,,,,,,,,
153.0,160,7296.0,0.0,4167.0,,,,,,,,
159.0,161,7295.0,1.0,4161.0,,,,,,,,
138.0,162,7296.0,0.0,4182.0,,,,,,,,
155.0,163,7296.0,0.0,4165.0,,,,,,,,
163.0,164,7296.0,0.0,4157.0,,,,,,,,
149.0,165,7296.0,0.0,4171.0,,,,,,,,
145.0,166,7296.0,0.0,4175.0,,,,,,,,
136.0,167,7296.0,0.0,4184.0,,,,,,,,
141.0,168,7296.0,0.0,4179.0,,,,,,,,
172.0,169,7295.0,1.0,4148.0,,,,,,,,
156.0,170,7296.0,0.0,4164.0,,,,,,,,
146.0,171,7296.0,0.0,4174.0,,,,,,,,
150.0,172,7296.0,0.0,4170.0,,,,,,,,
143.0,173,7296.0,0.0,4177.0,,,,,,,,
184.0,174,7295.0,1.0,4136.0,,,,,,,,
149.0,175,7295.0,1.0,4171.0,,,,,,,,
152.0,176,7296.0,0.0,4168.0,,,,,,,,
130.0,177,7294.0,2.0,4190.0,,,,,,,,
172.0,178,7295.0,1.0,4148.0,,,,,,,,
128.0,179,7296.0,0.0,4192.0,,,,,,,,
159.0,180,7296.0,0.0,4161.0,,,,,,,,
174.0,181,7295.0,1.0,4146.0,,,,,,,,
150.0,182,7296.0,0.0,4170.0,,,,,,,,
150.0,183,7295.0,1.0,4170.0,,,,,,,,
174.0,184,7296.0,0.0,4146.0,,,,,,,,
168.0,185,7296.0,0.0,4152.0,,,,,,,,
180.0,186,7296.0,0.0,4140.0,,,,,,,,
166.0,187,7296.0,0.0,4154.0,,,,,,,,
153.0,188,7295.0,1.0,4167.0,,,,,,,,
141.0,189,7293.0,3.0,4179.0,,,,,,,,
152.0,190,7296.0,0.0,4168.0,,,,,,,,
145.0,191,7296.0,0.0,4175.0,,,,,,,,
132.0,192,7296.0,0.0,4188.0,,,,,,,,
152.0,193,7296.0,0.0,4168.0,,,,,,,,
154.0,194,7293.0,3.0,4166.0,,,,,,,,
149.0,195,7296.0,0.0,4171.0,,,,,,,,
171.0,196,7294.0,2.0,4149.0,,,,,,,,
169.0,197,7295.0,1.0,4151.0,,,,,,,,
174.0,198,7295.0,1.0,4146.0,,,,,,,,
165.0,199,7296.0,0.0,4155.0,,,,,,,,
168.0,200,7296.0,0.0,4152.0,,,,,,,,
154.0,201,7294.0,2.0,4166.0,,,,,,,,
164.0,202,7294.0,2.0,4156.0,,,,,,,,
152.0,203,7294.0,2.0,4168.0,,,,,,,,
139.0,204,7296.0,0.0,4181.0,,,,,,,,
148.0,205,7296.0,0.0,4172.0,,,,,,,,
146.0,206,7296.0,0.0,4174.0,,,,,,,,
156.0,207,7296.0,0.0,4164.0,,,,,,,,
134.0,208,7296.0,0.0,4186.0,,,,,,,,
164.0,209,7295.0,1.0,4156.0,,,,,,,,
163.0,210,7296.0,0.0,4157.0,,,,,,,,
177.0,211,7295.0,1.0,4143.0,,,,,,,,
196.0,212,7295.0,1.0,4124.0,,,,,,,,
142.0,213,7296.0,0.0,4178.0,,,,,,,,
166.0,214,7295.0,1.0,4154.0,,,,,,,,
151.0,215,7296.0,0.0,4169.0,,,,,,,,
167.0,216,7296.0,0.0,4153.0,,,,,,,,
147.0,217,7295.0,1.0,4173.0,,,,,,,,
121.0,218,7295.0,1.0,4199.0,,,,,,,,
167.0,219,7296.0,0.0,4153.0,,,,,,,,
145.0,220,7296.0,0.0,4175.0,,,,,,,,
147.0,221,7295.0,1.0,4173.0,,,,,,,,
179.0,222,7296.0,0.0,4141.0,,,,,,,,
151.0,223,7295.0,1.0,4169.0,,,,,,,,
172.0,224,7296.0,0.0,4148.0,,,,,,,,
167.0,225,7296.0,0.0,4153.0,,,,,,,,
174.0,226,7296.0,0.0,4146.0,,,,,,,,
150.0,227,7295.0,1.0,4170.0,,,,,,,,
163.0,228,7296.0,0.0,4157.0,,,,,,,,
156.0,229,7295.0,1.0,4164.0,,,,,,,,
128.0,230,7296.0,0.0,4192.0,,,,,,,,
168.0,231,7296.0,0.0,4152.0,,,,,,,,
136.0,232,7295.0,1.0,4184.0,,,,,,,,
171.0,233,7296.0,0.0,4149.0,,,,,,,,
167.0,234,7296.0,0.0,4153.0,,,,,,,,
162.0,235,7295.0,1.0,4158.0,,,,,,,,
164.0,236,7296.0,0.0,4156.0,,,,,,,,
137.0,237,7296.0,0.0,4183.0,,,,,,,,
162.0,238,7295.0,1.0,4158.0,,,,,,,,
148.0,239,7296.0,0.0,4172.0,,,,,,,,
146.0,240,7296.0,0.0,4174.0,,,,,,,,
169.0,241,7294.0,2.0,4151.0,,,,,,,,
135.0,242,7296.0,0.0,4185.0,,,,,,,,
139.0,243,7295.0,1.0,4181.0,,,,,,,,
142.0,244,7296.0,0.0,4178.0,,,,,,,,
158.0,245,7296.0,0.0,4162.0,,,,,,,,
120.0,246,7296.0,0.0,4200.0,,,,,,,,
160.0,247,7296.0,0.0,4160.0,,,,,,,,
163.0,248,7294.0,2.0,4157.0,,,,,,,,
149.0,249,7296.0,0.0,4171.0,,,,,,,,
137.0,250,7295.0,1.0,4183.0,,,,,,,,
