valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10133.0,1335.0,73.0,75.0,110,,,,,,,,
10139.0,1335.0,73.0,69.0,111,,,,,,,,
10134.0,1321.0,87.0,74.0,112,,,,,,,,
10113.0,1313.0,95.0,95.0,113,,,,,,,,
10114.0,1337.0,71.0,94.0,114,,,,,,,,
10118.0,1332.0,76.0,90.0,115,,,,,,,,
10124.0,1328.0,80.0,84.0,116,,,,,,,,
10115.0,1332.0,76.0,93.0,117,,,,,,,,
10138.0,1324.0,84.0,70.0,118,,,,,,,,
10139.0,1334.0,74.0,69.0,119,,,,,,,,
10122.0,1335.0,73.0,86.0,120,,,,,,,,
10124.0,1325.0,83.0,84.0,121,,,,,,,,
10139.0,1318.0,90.0,69.0,122,,,,,,,,
10132.0,1326.0,82.0,76.0,123,,,,,,,,
10135.0,1315.0,93.0,73.0,124,,,,,,,,
10116.0,1333.0,75.0,92.0,125,,,,,,,,
10110.0,1324.0,84.0,98.0,126,,,,,,,,
10136.0,1323.0,85.0,72.0,127,,,,,,,,
10132.0,1333.0,75.0,76.0,128,,,,,,,,
10127.0,1320.0,88.0,81.0,129,,,,,,,,
10125.0,1339.0,69.0,83.0,130,,,,,,,,
10133.0,1324.0,84.0,75.0,131,,,,,,,,
10126.0,1325.0,83.0,82.0,132,,,,,,,,
10137.0,1318.0,90.0,71.0,133,,,,,,,,
10133.0,1322.0,86.0,75.0,134,,,,,,,,
10147.0,1329.0,79.0,61.0,135,,,,,,,,
10122.0,1322.0,86.0,86.0,136,,,,,,,,
10155.0,1316.0,92.0,53.0,137,,,,,,,,
10134.0,1330.0,78.0,74.0,138,,,,,,,,
10117.0,1327.0,81.0,91.0,139,,,,,,,,
10137.0,1331.0,77.0,71.0,140,,,,,,,,
10140.0,1326.0,82.0,68.0,141,,,,,,,,
10132.0,1328.0,80.0,76.0,142,,,,,,,,
10122.0,1321.0,87.0,86.0,143,,,,,,,,
10142.0,1313.0,95.0,66.0,144,,,,,,,,
10121.0,1347.0,61.0,87.0,145,,,,,,,,
10114.0,1320.0,88.0,94.0,146,,,,,,,,
10134.0,1328.0,80.0,74.0,147,,,,,,,,
10132.0,1321.0,87.0,76.0,148,,,,,,,,
10123.0,1329.0,79.0,85.0,149,,,,,,,,
10121.0,1333.0,75.0,87.0,150,,,,,,,,
10131.0,1337.0,71.0,77.0,151,,,,,,,,
10127.0,1328.0,80.0,81.0,152,,,,,,,,
10135.0,1345.0,63.0,73.0,153,,,,,,,,
10134.0,1328.0,80.0,74.0,154,,,,,,,,
10119.0,1327.0,81.0,89.0,155,,,,,,,,
10133.0,1327.0,81.0,75.0,156,,,,,,,,
10143.0,1331.0,77.0,65.0,157,,,,,,,,
10139.0,1345.0,63.0,69.0,158,,,,,,,,
10130.0,1325.0,83.0,78.0,159,,,,,,,,
10139.0,1324.0,84.0,69.0,160,,,,,,,,
10123.0,1333.0,75.0,85.0,161,,,,,,,,
10136.0,1342.0,66.0,72.0,162,,,,,,,,
10133.0,1328.0,80.0,75.0,163,,,,,,,,
10132.0,1321.0,87.0,76.0,164,,,,,,,,
10142.0,1325.0,83.0,66.0,165,,,,,,,,
10128.0,1343.0,65.0,80.0,166,,,,,,,,
10135.0,1345.0,63.0,73.0,167,,,,,,,,
10150.0,1325.0,83.0,58.0,168,,,,,,,,
10117.0,1326.0,82.0,91.0,169,,,,,,,,
10124.0,1336.0,72.0,84.0,170,,,,,,,,
10138.0,1332.0,76.0,70.0,171,,,,,,,,
10142.0,1324.0,84.0,66.0,172,,,,,,,,
10132.0,1341.0,67.0,76.0,173,,,,,,,,
10106.0,1325.0,83.0,102.0,174,,,,,,,,
10143.0,1323.0,85.0,65.0,175,,,,,,,,
10132.0,1332.0,76.0,76.0,176,,,,,,,,
10142.0,1342.0,66.0,66.0,177,,,,,,,,
10126.0,1317.0,91.0,82.0,178,,,,,,,,
10144.0,1344.0,64.0,64.0,179,,,,,,,,
10138.0,1319.0,89.0,70.0,180,,,,,,,,
10126.0,1315.0,93.0,82.0,181,,,,,,,,
10136.0,1330.0,78.0,72.0,182,,,,,,,,
10140.0,1325.0,83.0,68.0,183,,,,,,,,
10126.0,1316.0,92.0,82.0,184,,,,,,,,
10120.0,1328.0,80.0,88.0,185,,,,,,,,
10114.0,1322.0,86.0,94.0,186,,,,,,,,
10129.0,1321.0,87.0,79.0,187,,,,,,,,
10140.0,1322.0,86.0,68.0,188,,,,,,,,
10121.0,1351.0,57.0,87.0,189,,,,,,,,
10127.0,1337.0,71.0,81.0,190,,,,,,,,
10136.0,1335.0,73.0,72.0,191,,,,,,,,
10144.0,1340.0,68.0,64.0,192,,,,,,,,
10128.0,1336.0,72.0,80.0,193,,,,,,,,
10131.0,1328.0,80.0,77.0,194,,,,,,,,
10142.0,1325.0,83.0,66.0,195,,,,,,,,
10133.0,1310.0,98.0,75.0,196,,,,,,,,
10126.0,1320.0,88.0,82.0,197,,,,,,,,
10119.0,1322.0,86.0,89.0,198,,,,,,,,
10121.0,1330.0,78.0,87.0,199,,,,,,,,
10121.0,1327.0,81.0,87.0,200,,,,,,,,
10135.0,1325.0,83.0,73.0,201,,,,,,,,
10125.0,1325.0,83.0,83.0,202,,,,,,,,
10136.0,1326.0,82.0,72.0,203,,,,,,,,
10145.0,1332.0,76.0,63.0,204,,,,,,,,
10129.0,1339.0,69.0,79.0,205,,,,,,,,
10127.0,1343.0,65.0,81.0,206,,,,,,,,
10128.0,1332.0,76.0,80.0,207,,,,,,,,
10140.0,1342.0,66.0,68.0,208,,,,,,,,
10138.0,1313.0,95.0,70.0,209,,,,,,,,
